target_id,name,HousingJuris,2020-2044 Population Growth,2020-2044 Housing Growth,2020-2044 Employment Growth,2044 Population Target,2044 Housing Target,2044 Employment Target
65,Bremerton,Bremerton,20252,9556,14175,63757,27907,58258
67,Bremerton UGA,Unincorporated,2762,,2434,12867,,3835
68,Silverdale,Unincorporated,9896,,11416,29571,,24697
69,Bainbridge Island,Bainbridge Island,4524,1977,1927,29349,13228,11103
70,Kingston,Unincorporated,3200,,1400,5635,,2477
71,Port Orchard,Port Orchard,10500,4943,5400,26087,11152,13962
72,Port Orchard UGA,Unincorporated,3552,,1500,18922,,4183
73,Poulsbo,Poulsbo,4581,1977,3903,16556,7093,11541
74,Poulsbo UGA,Unincorporated,1065,,97,1593,,175
75,Urban Unincorporated (Central Kitsap UGA),Unincorporated,5000,14498,1470,29741,84485,5455
76,Rural Areas,Unincorporated,5415,,2301,112280,,25197
