target_id,target_name,control_id,control_name,county_id,exclude_from_target,rgid
1,Bellevue,1,Bellevue,53033,0,1
2,Seattle,2,Seattle,53033,0,1
3,Auburn,3,Auburn,53033,0,2
4,Bothell,4,Bothell,53033,0,2
5,Burien,5,Burien,53033,0,2
6,Federal Way,6,Federal Way,53033,0,2
7,Issaquah,7,Issaquah,53033,0,2
8,Kent,8,Kent,53033,0,2
9,Kirkland,9,Kirkland,53033,0,2
10,Redmond,10,Redmond,53033,0,2
11,Renton,11,Renton,53033,0,2
12,SeaTac,12,SeaTac,53033,0,2
13,Tukwila,13,Tukwila,53033,0,2
14,Des Moines,14,Des Moines,53033,0,3
15,Federal Way PAA,15,Federal Way PAA,53033,0,3
16,Kenmore,16,Kenmore,53033,0,3
17,Lake Forest Park,17,Lake Forest Park,53033,0,3
18,Mercer Island,18,Mercer Island,53033,0,3
19,Newcastle,19,Newcastle,53033,0,3
20,North Highline,20,North Highline,53033,0,3
22,Renton PAA - East Renton,22,Renton PAA - East Renton,53033,0,3
23,Renton PAA - Fairwood,23,Renton PAA - Fairwood,53033,0,3
24,Renton PAA - West Hill,24,Renton PAA - West Hill,53033,0,3
25,Shoreline,25,Shoreline,53033,0,3
26,Woodinville,26,Woodinville,53033,0,3
27,Algona,27,Algona,53033,0,4
28,Beaux Arts,28,Beaux Arts,53033,0,4
29,Black Diamond,29,Black Diamond,53033,0,4
30,Carnation,30,Carnation,53033,0,4
31,Clyde Hill,31,Clyde Hill,53033,0,4
32,Covington,32,Covington,53033,0,4
33,Duvall,33,Duvall,53033,0,4
34,Enumclaw,34,Enumclaw,53033,0,4
35,Hunts Point,35,Hunts Point,53033,0,4
36,Maple Valley,36,Maple Valley,53033,0,4
37,Medina,37,Medina,53033,0,4
38,Milton,38,Milton,53033,0,4
39,Normandy Park,39,Normandy Park,53033,0,4
40,North Bend,40,North Bend,53033,0,4
41,Pacific,41,Pacific,53033,0,4
42,Sammamish,42,Sammamish,53033,0,4
43,Skykomish,43,Skykomish,53033,0,4
44,Snoqualmie,44,Snoqualmie,53033,0,4
45,Yarrow Point,45,Yarrow Point,53033,0,4
46,Auburn PAA,46,Auburn PAA,53033,0,5
48,Bellevue PAA,48,Bellevue PAA,53033,0,5
49,Black Diamond PAA,49,Black Diamond PAA,53033,0,5
51,Issaquah PAA,51,Issaquah PAA,53033,0,5
52,Kent PAA,52,Kent PAA,53033,0,5
53,King UGA,53,King UGA,53033,0,5
57,Newcastle PAA,57,Newcastle PAA,53033,0,5
58,Pacific PAA,58,Pacific PAA,53033,0,5
60,Redmond PAA,60,Redmond PAA,53033,0,5
61,Sammamish PAA,61,Sammamish PAA,53033,0,5
64,King Rural,64,King Rural,53033,0,6
65,Bremerton,65,Bremerton,53035,0,1
67,Bremerton UGA,67,Bremerton UGA,53035,0,1
68,Silverdale,68,Silverdale,53035,0,2
69,Bainbridge Island,69,Bainbridge Island,53035,0,3
70,Kingston UGA,70,Kingston UGA,53035,0,3
71,Port Orchard,71,Port Orchard,53035,0,3
72,Port Orchard UGA,72,Port Orchard UGA,53035,0,3
73,Poulsbo,73,Poulsbo,53035,0,3
74,Poulsbo PUTA,74,Poulsbo PUTA,53035,0,3
75,Central Kitsap UGA,75,Central Kitsap UGA,53035,0,5
76,Kitsap Rural,76,Kitsap Rural,53035,0,6
77,Tacoma,77,Tacoma,53053,0,1
78,Auburn,78,Auburn,53053,0,2
79,Lakewood,79,Lakewood,53053,0,2
80,Puyallup,80,Puyallup,53053,0,2
81,University Place,81,University Place,53053,0,2
82,DuPont,82,DuPont,53053,0,3
83,Fife,83,Fife,53053,0,3
84,Fircrest,84,Fircrest,53053,0,3
