rgid_22,target_id,target_name,control_id,control_name,county_id
10,1,Bellevue,1,Bellevue,53033
166,2,Seattle,2,Seattle,53033
4,3,Auburn,3,Auburn,53033
5,3,Auburn,3,Auburn,53033
16,4,Bothell,4,Bothell,53033
23,5,Burien,5,Burien,53033
49,6,Federal Way,6,Federal Way,53033
50,6,Federal Way,6,Federal Way,53033
66,7,Issaquah,7,Issaquah,53033
70,8,Kent,8,Kent,53033
84,9,Kirkland,9,Kirkland,53033
153,10,Redmond,10,Redmond,53033
155,11,Renton,11,Renton,53033
165,12,SeaTac,12,SeaTac,53033
201,13,Tukwila,13,Tukwila,53033
34,14,Des Moines,14,Des Moines,53033
51,15,Federal Way PAA,15,Federal Way PAA,53033
69,16,Kenmore,16,Kenmore,53033
91,17,Lake Forest Park,17,Lake Forest Park,53033
107,18,Mercer Island,18,Mercer Island,53033
120,19,Newcastle,19,Newcastle,53033
125,20,North Highline,20,North Highline,53033
167,20,North Highline,20,North Highline,53033
157,22,Renton PAA - East Renton,22,Renton PAA - East Renton,53033
358,22,Renton PAA - East Renton,22,Renton PAA - East Renton,53033
158,23,Renton PAA - Fairwood,23,Renton PAA - Fairwood,53033
159,24,Renton PAA - West Hill,24,Renton PAA - West Hill,53033
168,25,Shoreline,25,Shoreline,53033
205,26,Woodinville,26,Woodinville,53033
1,27,Algona,27,Algona,53033
9,28,Beaux Arts,28,Beaux Arts,53033
12,29,Black Diamond,29,Black Diamond,53033
26,30,Carnation,30,Carnation,53033
29,31,Clyde Hill,31,Clyde Hill,53033
30,32,Covington,32,Covington,53033
37,33,Duvall,33,Duvall,53033
45,34,Enumclaw,34,Enumclaw,53033
64,35,Hunts Point,35,Hunts Point,53033
102,36,Maple Valley,36,Maple Valley,53033
106,37,Medina,37,Medina,53033
110,38,Milton,38,Milton,53033
111,38,Milton,38,Milton,53033
122,39,Normandy Park,39,Normandy Park,53033
123,40,North Bend,40,North Bend,53033
127,41,Pacific,41,Pacific,53033
163,42,Sammamish,42,Sammamish,53033
171,43,Skykomish,43,Skykomish,53033
183,44,Snoqualmie,44,Snoqualmie,53033
208,45,Yarrow Point,45,Yarrow Point,53033
6,46,Auburn PAA,46,Auburn PAA,53033
11,48,Bellevue PAA,48,Bellevue PAA,53033
13,49,Black Diamond PAA,49,Black Diamond PAA,53033
